"InTemp","InHumid","DoorState","Power","TIME","Temp_outside","Pi_consmp","GES(in KWh)"
"13.8","70.5"," CLOSED"," ON","    00:08:31","18.89","19.646365422397","0"
"13.8","70.5"," CLOSED"," ON","    00:08:34","18.89","19.646365422397","0"
"13.8","70.6"," CLOSED"," ON","    00:08:36","18.89","19.646365422397","0"
"13.8","70.8"," CLOSED"," ON","    00:08:39","18.89","19.646365422397","0"
"13.8","70.8"," CLOSED"," ON","    00:08:41","18.89","19.646365422397","0"
"13.8","70.8"," CLOSED"," ON","    00:08:44","18.89","19.646365422397","0"
"13.8","70.7"," CLOSED"," ON","    00:08:47","18.89","19.646365422397","0"
"13.8","70.8"," CLOSED"," ON","    00:08:49","18.89","19.646365422397","0"
"13.8","70.8"," CLOSED"," ON","    00:08:52","18.89","19.646365422397","0"
"13.8","70.7"," CLOSED"," ON","    00:08:54","18.89","19.646365422397","0"
"13.8","70.6"," CLOSED"," ON","    00:08:57","18.89","19.646365422397","0"
"13.8","70.7"," CLOSED"," ON","    00:09:00","18.89","19.646365422397","0"
"13.8","70.9"," CLOSED"," ON","    00:09:02","18.89","19.646365422397","0"
"13.8","70.8"," CLOSED"," ON","    00:09:05","18.89","19.646365422397","0"
"13.7","70.6"," CLOSED"," ON","    00:09:07","18.89","19.267822736031","0"
"13.8","70.8"," CLOSED"," ON","    00:09:10","18.89","19.646365422397","0"
"13.8","70.9"," CLOSED"," ON","    00:09:13","18.89","19.646365422397","0"
"13.8","70.9"," CLOSED"," ON","    00:09:15","18.89","19.646365422397","0"
"13.8","70.6"," CLOSED"," ON","    00:09:18","18.89","19.646365422397","0"
"13.8","70.7"," CLOSED"," ON","    00:09:20","18.89","19.646365422397","0"
"13.8","70.9"," CLOSED"," ON","    00:09:23","18.89","19.646365422397","0"
"13.8","71"," CLOSED"," ON","    00:09:25","18.89","19.646365422397","0"
"13.8","71.1"," CLOSED"," ON","    00:09:28","18.89","19.646365422397","0"
"13.8","71.2"," CLOSED"," ON","    00:09:31","18.89","19.646365422397","0"
