TIME,PowerSource,UsedPower
11:08:00,RES,8.59915828704834
11:09:00,Grid,9.214349746704102
11:10:00,RES,8.516338348388672
11:11:00,RES,8.961359024047852
11:29:00,RES,9.216991424560547
11:30:00,RES,8.687487602233887
11:31:00,RES,8.955286979675293
11:32:00,RES,8.548831939697266
11:33:00,RES,8.321663856506348
11:34:00,RES,8.412530899047852
11:35:00,RES,8.765024185180664
11:36:00,RES,9.021981239318848
11:37:00,RES,9.25197696685791
11:38:00,RES,9.460186958312988
11:39:00,RES,9.622365951538086
11:59:00,RES,8.162787437438965
12:00:00,RES,9.342991828918457
12:01:00,RES,9.385345458984375
12:02:00,RES,8.803207397460938
12:03:00,RES,8.887069702148438
12:04:00,RES,8.906728744506836
12:05:00,RES,8.142582893371582
12:06:00,RES,8.847748756408691
12:07:00,RES,8.463128089904785
12:08:00,RES,7.901232719421387
12:09:00,RES,7.165641784667969
12:33:00,RES,6.384078025817871
12:34:00,RES,6.797846794128418
12:35:00,RES,7.165641784667969
12:36:00,RES,7.533437728881836
12:37:00,RES,7.76331090927124
12:38:00,RES,7.014614105224609
12:39:00,RES,8.32072639465332
12:40:00,RES,7.552667617797852
12:41:00,RES,7.638087272644043
12:42:00,RES,7.674501419067383
12:43:00,RES,7.744820594787598
12:44:00,RES,7.815138816833496
12:45:00,RES,7.509958267211914
12:46:00,RES,5.8981218338012695
12:57:00,RES,6.983940124511719
12:57:00,RES,6.983940124511719
12:58:00,RES,7.213811874389648
12:59:00,RES,7.535633563995361
13:00:00,RES,7.765506744384766
13:01:00,RES,6.603038787841797
13:02:00,RES,6.603038787841797
13:03:00,RES,6.649014472961426
13:04:00,RES,6.511091232299805
13:05:00,RES,6.189269065856934
13:06:00,RES,5.499653339385986
13:07:00,RES,4.764062404632568
13:08:00,RES,4.120420932769775
13:09:00,RES,5.685577392578125
13:10:00,RES,5.685577392578125
13:11:00,RES,5.965677261352539
13:12:00,RES,5.351077556610107
13:13:00,RES,5.817909240722656
13:14:00,RES,6.144693851470947
14:05:00,RES,5.079011917114258
14:06:00,RES,4.035452365875244
14:07:00,RES,5.065871238708496
14:08:00,RES,5.440587520599365
14:09:00,RES,5.9264960289001465
14:10:00,RES,5.860593318939209
14:11:00,RES,6.3930230140686035
14:12:00,RES,5.748167037963867
14:13:00,RES,6.296104431152344
14:14:00,RES,6.267477989196777
14:15:00,RES,6.247679710388184
14:16:00,RES,6.196874618530273
14:17:00,RES,5.568597793579102
14:18:00,RES,5.399503707885742
14:19:00,RES,5.2385101318359375
14:20:00,RES,4.779288291931152
14:21:00,RES,3.943180799484253
14:22:00,RES,4.094210147857666
14:23:00,RES,3.4505672454833984
14:24:00,RES,2.8069255352020264
14:25:00,RES,3.55562162399292
14:26:00,RES,3.55562162399292
14:27:00,RES,3.6475706100463867
14:34:00,RES,6.269923210144043
14:34:00,RES,6.269923210144043
14:35:00,RES,5.891296863555908
14:35:00,RES,5.891296863555908
14:36:00,RES,6.324822902679443
14:36:00,RES,6.324822902679443
14:45:00,RES,2.5062239170074463
14:46:00,RES,1.7913143634796143
14:47:00,RES,1.917983055114746
14:48:00,RES,2.140604257583618
14:49:00,RES,2.331422805786133
14:50:00,RES,3.4527626037597656
14:51:00,RES,2.661011219024658
14:52:00,RES,2.9339394569396973
14:53:00,RES,4.1883544921875
14:54:00,RES,3.4856326580047607
14:55:00,RES,3.577580690383911
14:56:00,RES,3.7155041694641113
14:57:00,RES,3.7614779472351074
14:58:00,RES,3.3477096557617188
14:59:00,RES,2.6248326301574707
15:00:00,RES,2.010530471801758
15:01:00,RES,2.154635429382324
15:02:00,RES,1.7631738185882568
15:03:00,RES,1.7330609560012817
15:04:00,RES,1.9137356281280518
15:05:00,RES,2.154635429382324
15:06:00,RES,2.335310220718384
15:07:00,RES,1.890080213546753
15:08:00,RES,2.4557604789733887
15:09:00,RES,2.00407338142395
15:10:00,RES,1.5206726789474487
15:11:00,RES,1.8221855163574219
15:12:00,RES,1.7307302951812744
15:12:00,RES,1.7307302951812744
15:13:00,RES,1.7002453804016113
15:13:00,RES,1.7002453804016113
16:05:00,RES,2.661011219024658
16:06:00,RES,2.2213175296783447
16:07:00,RES,1.6190685033798218
16:08:00,RES,1.8233981132507324
16:09:00,RES,1.4597033262252808
16:10:00,RES,1.2767930030822754
16:11:00,RES,1.3377623558044434
16:12:00,RES,1.5206726789474487
16:13:00,RES,1.7330609560012817
16:14:00,RES,2.0944106578826904
16:31:00,RES,1.5206726789474487
16:32:00,RES,1.8233981132507324
16:33:00,RES,2.154635429382324
16:34:00,RES,1.7997428178787231
16:35:00,Grid,2.6252241134643555
16:36:00,RES,2.311654806137085
16:37:00,Grid,3.360813617706299
16:38:00,Grid,2.7960166931152344
16:39:00,Grid,2.8879647254943848
