TIME,Predicted_Power_final
2024-11-10 10:44:00,14.166076
2024-11-10 10:45:00,14.313667
2024-11-10 10:46:00,14.316227
2024-11-10 10:47:00,14.327058
2024-11-10 10:48:00,14.318389
2024-11-10 10:49:00,14.314026
2024-11-10 10:50:00,14.633817
2024-11-10 10:51:00,14.622945
2024-11-10 10:52:00,14.60558
2024-11-10 10:53:00,14.605563
2024-11-10 10:54:00,14.607726
2024-11-10 10:55:00,14.596903
2024-11-10 10:56:00,14.592587
2024-11-10 10:57:00,14.6012745
2024-11-10 10:58:00,14.607794
2024-11-10 10:59:00,14.616472
2024-11-10 11:00:00,14.630605
2024-11-10 11:01:00,14.64578
2024-11-10 11:02:00,14.647959
2024-11-10 11:03:00,14.654468
2024-11-10 11:04:00,14.65881
2024-11-10 11:05:00,14.6783085
2024-11-10 11:06:00,14.689145
2024-11-10 11:07:00,14.682651
2024-11-10 11:08:00,14.686967
2024-11-10 11:09:00,14.6652775
2024-11-10 11:10:00,14.660902
2024-11-10 11:11:00,14.648228
2024-11-10 11:12:00,14.632676
2024-11-10 11:13:00,14.623999
2024-11-10 11:14:00,14.621832
2024-11-10 11:15:00,14.725492
2024-11-10 11:16:00,14.727677
2024-11-10 11:17:00,14.745026
2024-11-10 11:18:00,14.751547
2024-11-10 11:19:00,14.760227
2024-11-10 11:20:00,14.934655
2024-11-10 11:21:00,14.939003
2024-11-10 11:22:00,14.947685
2024-11-10 11:23:00,14.973684
2024-11-10 11:24:00,14.984521
2024-11-10 11:25:00,14.984527
2024-11-10 11:26:00,14.991025
2024-11-10 11:27:00,14.984515
2024-11-10 11:28:00,14.98015
2024-11-10 11:29:00,14.975776
2024-11-10 11:30:00,15.020725
2024-11-10 11:31:00,15.004133
2024-11-10 11:32:00,14.999779
2024-11-10 11:33:00,15.001941
2024-11-10 11:34:00,15.001954
2024-11-10 11:35:00,14.99981
2024-11-10 11:36:00,14.999829
2024-11-10 11:37:00,15.008515
2024-11-10 11:38:00,15.0193615
2024-11-10 11:39:00,15.039414
2024-11-10 11:40:00,15.04322
2024-11-10 11:41:00,15.054061
2024-11-10 11:42:00,15.060572
2024-11-10 11:43:00,15.069238
2024-11-10 11:44:00,15.082234
2024-11-10 11:45:00,15.11678
2024-11-10 11:46:00,15.118937
2024-11-10 11:47:00,15.108086
2024-11-10 11:48:00,15.09289
2024-11-10 11:49:00,15.079852
2024-11-10 11:50:00,15.071154
2024-11-10 11:51:00,15.05814
2024-11-10 11:52:00,15.047308
2024-11-10 11:53:00,15.05814
2024-11-10 11:54:00,15.055993
2024-11-10 11:55:00,15.075508
2024-11-10 11:56:00,15.069028
2024-11-10 11:57:00,15.077714
2024-11-10 11:58:00,15.084231
2024-11-10 11:59:00,15.103739
2024-11-10 12:00:00,15.047225
2024-11-10 12:01:00,15.052839
2024-11-10 12:02:00,15.05285
2024-11-10 12:03:00,15.059356
2024-11-10 12:04:00,15.059358
2024-11-10 12:05:00,15.063689
2024-11-10 12:06:00,15.065829
2024-11-10 12:07:00,15.057132
2024-11-10 12:08:00,15.050594
2024-11-10 12:09:00,15.025918
2024-11-10 12:10:00,15.00937
2024-11-10 12:11:00,15.007195
2024-11-10 12:12:00,15.007203
2024-11-10 12:13:00,15.007219
2024-11-10 12:14:00,15.01374
2024-11-10 12:15:00,15.02335
2024-11-10 12:16:00,15.038526
2024-11-10 12:17:00,15.053705
2024-11-10 12:18:00,15.05589
2024-11-10 12:19:00,15.064568
2024-11-10 12:20:00,15.081903
2024-11-10 12:21:00,15.090577
2024-11-10 12:22:00,15.105741
2024-11-10 12:23:00,15.1144
2024-11-10 12:24:00,15.114401
2024-11-10 12:25:00,15.11223
2024-11-10 12:26:00,15.107879
2024-11-10 12:27:00,15.090514
2024-11-10 12:28:00,15.068818
2024-11-10 12:29:00,15.064457
2024-11-10 12:30:00,15.041202
2024-11-10 12:31:00,15.032537
2024-11-10 12:32:00,15.02605
2024-11-10 12:33:00,15.026072
2024-11-10 12:34:00,15.026093
2024-11-10 12:35:00,15.041273
2024-11-10 12:36:00,15.043457
2024-11-10 12:37:00,15.0478
2024-11-10 12:38:00,15.069478
2024-11-10 12:39:00,15.080319
2024-11-10 12:40:00,15.095487
2024-11-10 12:41:00,15.095495
2024-11-10 12:42:00,15.104159
2024-11-10 12:43:00,15.119328
2024-11-10 12:44:00,15.099827
2024-11-10 12:45:00,15.06073
2024-11-10 12:46:00,15.043174
2024-11-10 12:47:00,15.034556
2024-11-10 12:48:00,15.017198
2024-11-10 12:49:00,14.993355
2024-11-10 12:50:00,15.33268
2024-11-10 12:51:00,15.332692
2024-11-10 12:52:00,15.328382
2024-11-10 12:53:00,15.3414
2024-11-10 12:54:00,15.354417
2024-11-10 12:55:00,15.363097
2024-11-10 12:56:00,15.365706
2024-11-10 12:57:00,15.36512
2024-11-10 12:58:00,15.395629
2024-11-10 12:59:00,15.4043045
2024-11-10 13:00:00,15.311177
2024-11-10 13:01:00,15.317176
2024-11-10 13:02:00,15.319343
2024-11-10 13:03:00,15.3215065
2024-11-10 13:04:00,15.312832
2024-11-10 13:05:00,15.308469
2024-11-10 13:06:00,15.2976
2024-11-10 13:07:00,15.284564
2024-11-10 13:08:00,15.262881
2024-11-10 13:09:00,15.2563715
2024-11-10 13:10:00,15.247717
2024-11-10 13:11:00,15.249899
2024-11-10 13:12:00,15.258586
2024-11-10 13:13:00,15.262942
2024-11-10 13:14:00,15.267114
2024-11-10 13:15:00,15.189707
2024-11-10 13:16:00,15.209214
2024-11-10 13:17:00,15.217895
2024-11-10 13:18:00,15.228735
2024-11-10 13:19:00,15.233073
2024-11-10 13:20:00,15.241731
2024-11-10 13:21:00,15.2633915
2024-11-10 13:22:00,15.246073
2024-11-10 13:23:00,15.241727
2024-11-10 13:24:00,15.237362
2024-11-10 13:25:00,15.2135
2024-11-10 13:26:00,15.211298
2024-11-10 13:27:00,15.180946
2024-11-10 13:28:00,15.174441
2024-11-10 13:29:00,15.174441
2024-11-10 13:30:00,15.1427555
2024-11-10 13:31:00,15.142778
2024-11-10 13:32:00,15.142805
2024-11-10 13:33:00,15.15582
2024-11-10 13:34:00,15.164502
2024-11-10 13:35:00,15.164517
2024-11-10 13:36:00,15.181861
2024-11-10 13:37:00,15.194862
2024-11-10 13:38:00,15.199196
2024-11-10 13:39:00,15.205694
2024-11-10 13:40:00,15.23169
2024-11-10 13:41:00,15.229535
2024-11-10 13:42:00,15.220855
2024-11-10 13:43:00,15.209994
2024-11-10 13:44:00,15.196966
2024-11-10 13:45:00,15.206041
2024-11-10 13:46:00,15.177854
2024-11-10 13:47:00,15.175673
2024-11-10 13:48:00,15.169177
2024-11-10 13:49:00,15.16919
2024-11-10 13:50:00,14.836385
2024-11-10 13:51:00,14.838572
2024-11-10 13:52:00,14.855912
2024-11-10 13:53:00,14.868923
2024-11-10 13:54:00,14.871106
2024-11-10 13:55:00,14.881957
2024-11-10 13:56:00,14.888465
2024-11-10 13:57:00,14.901465
2024-11-10 13:58:00,14.925293
2024-11-10 13:59:00,14.936123
2024-11-10 14:00:00,15.010881
2024-11-10 14:01:00,14.9935465
2024-11-10 14:02:00,14.989187
2024-11-10 14:03:00,14.9739895
2024-11-10 14:04:00,15.035657
2024-11-10 14:05:00,15.2864065
2024-11-10 14:06:00,15.273413
2024-11-10 14:07:00,15.212713
2024-11-10 14:08:00,15.162815
2024-11-10 14:09:00,15.128109
2024-11-10 14:10:00,15.106416
2024-11-10 14:11:00,15.097716
2024-11-10 14:12:00,15.091183
2024-11-10 14:13:00,15.088997
2024-11-10 14:14:00,15.088986
2024-11-10 14:15:00,15.134793
2024-11-10 14:16:00,15.149265
2024-11-10 14:17:00,15.149258
2024-11-10 14:18:00,15.151412
2024-11-10 14:19:00,15.144904
2024-11-10 14:20:00,15.475529
2024-11-10 14:21:00,15.449496
2024-11-10 14:22:00,15.429958
2024-11-10 14:23:00,15.423422
2024-11-10 14:24:00,15.393076
2024-11-10 14:25:00,15.386572
2024-11-10 14:26:00,15.38441
2024-11-10 14:27:00,15.397772
2024-11-10 14:28:00,15.718509
2024-11-10 14:29:00,15.781312
2024-11-10 14:30:00,15.658546
2024-11-10 14:31:00,15.61301
2024-11-10 14:32:00,15.578301
2024-11-10 14:33:00,15.558771
2024-11-10 14:34:00,15.554632
2024-11-10 14:35:00,15.543215
2024-11-10 14:36:00,15.530142
2024-11-10 14:37:00,15.554351
2024-11-10 14:38:00,15.541345
2024-11-10 14:39:00,15.534808
2024-11-10 14:40:00,15.506605
2024-11-10 14:41:00,15.495724
2024-11-10 14:42:00,15.471846
2024-11-10 14:43:00,15.458797
2024-11-10 14:44:00,15.452182
2024-11-10 14:45:00,15.237578
2024-11-10 14:46:00,15.221913
2024-11-10 14:47:00,15.230588
2024-11-10 14:48:00,15.232774
2024-11-10 14:49:00,15.221965
2024-11-10 14:50:00,15.55482
2024-11-10 14:51:00,15.572149
2024-11-10 14:52:00,15.572162
2024-11-10 14:53:00,15.57218
2024-11-10 14:54:00,15.578699
2024-11-10 14:55:00,15.593949
2024-11-10 14:56:00,15.5896
2024-11-10 14:57:00,15.58959
2024-11-10 14:58:00,15.580853
2024-11-10 14:59:00,15.580323
2024-11-10 15:00:00,15.005802
2024-11-10 15:01:00,14.965451
2024-11-10 15:02:00,14.956767
2024-11-10 15:03:00,14.950277
2024-11-10 15:04:00,14.94813
2024-11-10 15:05:00,14.956811
2024-11-10 15:06:00,14.96333
2024-11-10 15:07:00,14.956834
2024-11-10 15:08:00,14.948151
2024-11-10 15:09:00,14.945943
2024-11-10 15:10:00,14.93508
2024-11-10 15:11:00,14.916216
2024-11-10 15:12:00,14.919773
2024-11-10 15:13:00,14.920271
2024-11-10 15:14:00,14.928578
2024-11-10 15:15:00,14.818336
2024-11-10 15:16:00,14.818372
2024-11-10 15:17:00,14.83139
2024-11-10 15:18:00,14.833574
2024-11-10 15:19:00,14.8400955
2024-11-10 15:20:00,14.533271
2024-11-10 15:21:00,14.537616
2024-11-10 15:22:00,14.539795
2024-11-10 15:23:00,14.548478
2024-11-10 15:24:00,14.559317
2024-11-10 15:25:00,14.554989
2024-11-10 15:26:00,14.550639
2024-11-10 15:27:00,14.54627
2024-11-10 15:28:00,14.535401
2024-11-10 15:29:00,14.509375
2024-11-10 15:30:00,14.401277
2024-11-10 15:31:00,14.392585
2024-11-10 15:32:00,14.386084
2024-11-10 15:33:00,14.373091
2024-11-10 15:34:00,14.362285
2024-11-10 15:35:00,14.379636
2024-11-10 15:36:00,14.388318
2024-11-10 15:37:00,14.394846
2024-11-10 15:38:00,14.397028
2024-11-10 15:39:00,14.405711
2024-11-10 15:40:00,14.416555
2024-11-10 15:41:00,14.431732
2024-11-10 15:42:00,14.442576
2024-11-10 15:43:00,14.444763
2024-11-10 15:44:00,14.444766
2024-11-10 15:45:00,14.38681
2024-11-10 15:46:00,14.384613
2024-11-10 15:47:00,14.369405
2024-11-10 15:48:00,14.352036
2024-11-10 15:49:00,14.345495
2024-11-10 15:50:00,14.671797
2024-11-10 15:51:00,14.6588
2024-11-10 15:52:00,14.658814
2024-11-10 15:53:00,14.658824
2024-11-10 15:54:00,14.663184
2024-11-10 15:55:00,14.667542
2024-11-10 15:56:00,14.6719055
2024-11-10 15:57:00,14.684926
2024-11-10 15:58:00,14.691446
2024-11-10 15:59:00,14.71095
2024-11-10 16:00:00,14.712765
2024-11-10 16:01:00,14.712776
2024-11-10 16:02:00,14.71712
2024-11-10 16:03:00,14.719293
2024-11-10 16:04:00,14.710509
2024-11-10 16:05:00,14.7084055
2024-11-10 16:06:00,14.706189
2024-11-10 16:07:00,14.6909895
2024-11-10 16:08:00,14.671458
2024-11-10 16:09:00,14.662771
2024-11-10 16:10:00,14.65844
2024-11-10 16:11:00,14.660613
2024-11-10 16:12:00,14.662795
2024-11-10 16:13:00,14.662824
2024-11-10 16:14:00,14.665014
2024-11-10 16:15:00,14.585154
2024-11-10 16:16:00,14.608999
2024-11-10 16:17:00,14.617676
2024-11-10 16:18:00,14.630687
2024-11-10 16:19:00,14.63287
2024-11-10 16:20:00,14.639377
2024-11-10 16:21:00,14.656717
2024-11-10 16:22:00,14.652384
2024-11-10 16:23:00,14.635034
2024-11-10 16:24:00,14.626326
2024-11-10 16:25:00,14.626285
2024-11-10 16:26:00,14.606748
2024-11-10 16:27:00,14.5958805
2024-11-10 16:28:00,14.582866
2024-11-10 16:29:00,14.5807085
2024-11-10 16:30:00,14.5171175
2024-11-10 16:31:00,14.517144
2024-11-10 16:32:00,14.517169
2024-11-10 16:33:00,14.517194
2024-11-10 16:34:00,14.532373
2024-11-10 16:35:00,14.545394
2024-11-10 16:36:00,14.564905
2024-11-10 16:37:00,14.56492
2024-11-10 16:38:00,14.567105
2024-11-10 16:39:00,14.573612
2024-11-10 16:40:00,14.582293
2024-11-10 16:41:00,14.577962
2024-11-10 16:42:00,14.569282
2024-11-10 16:43:00,14.564907
2024-11-10 16:44:00,14.554027
2024-11-10 16:45:00,14.491678
2024-11-10 16:46:00,14.482975
2024-11-10 16:47:00,14.467787
2024-11-10 16:48:00,14.465616
2024-11-10 16:49:00,14.463458
2024-11-10 16:50:00,14.459149
2024-11-10 16:51:00,14.459175
2024-11-10 16:52:00,14.463532
2024-11-10 16:53:00,14.470057
2024-11-10 16:54:00,14.474608
2024-11-10 16:55:00,14.487427
2024-11-10 16:56:00,14.498277
2024-11-10 16:57:00,14.50695
2024-11-10 16:58:00,14.509137
2024-11-10 16:59:00,14.524305
2024-11-10 17:00:00,14.511458
2024-11-10 17:01:00,14.508701
2024-11-10 17:02:00,14.506517
2024-11-10 17:03:00,14.495652
2024-11-10 17:04:00,14.480446
2024-11-10 17:05:00,14.46957
2024-11-10 17:06:00,14.458711
2024-11-10 17:07:00,14.439208
2024-11-10 17:08:00,14.450036
2024-11-10 17:09:00,14.450049
2024-11-10 17:10:00,14.445737
2024-11-10 17:11:00,14.454327
2024-11-10 17:12:00,14.456618
2024-11-10 17:13:00,14.458802
2024-11-10 17:14:00,14.4696455
2024-11-10 17:15:00,14.433393
2024-11-10 17:16:00,14.444065
2024-11-10 17:17:00,14.452748
2024-11-10 17:18:00,14.4462595
2024-11-10 17:19:00,14.454939
2024-11-10 17:20:00,14.122117
2024-11-10 17:21:00,14.119931
2024-11-10 17:22:00,14.106897
2024-11-10 17:23:00,14.104689
2024-11-10 17:24:00,14.080817
2024-11-10 17:25:00,14.072113
2024-11-10 17:26:00,14.063426
2024-11-10 17:27:00,14.063418
2024-11-10 17:28:00,14.052605
2024-11-10 17:29:00,14.054789
2024-11-10 17:30:00,14.011911
2024-11-10 17:31:00,14.009769
2024-11-10 17:32:00,14.016289
2024-11-10 17:33:00,14.0271435
2024-11-10 17:34:00,14.035829
2024-11-10 17:35:00,14.042341
2024-11-10 17:36:00,14.053183
2024-11-10 17:37:00,14.057529
2024-11-10 17:38:00,14.066107
2024-11-10 17:39:00,14.068379
2024-11-10 17:40:00,14.064044
2024-11-10 17:41:00,14.055348
2024-11-10 17:42:00,14.042315
2024-11-10 17:43:00,14.031441
2024-11-10 17:44:00,14.020568
2024-11-10 17:45:00,13.955818
2024-11-10 17:46:00,13.953638
2024-11-10 17:47:00,13.942814
2024-11-10 17:48:00,13.947161
2024-11-10 17:49:00,13.947187
2024-11-10 17:50:00,14.286539
2024-11-10 17:51:00,14.295223
2024-11-10 17:52:00,14.299574
2024-11-10 17:53:00,14.312595
2024-11-10 17:54:00,14.323443
2024-11-10 17:55:00,14.32218
2024-11-10 17:56:00,14.329966
2024-11-10 17:57:00,14.34514
2024-11-10 17:58:00,14.342987
2024-11-10 17:59:00,14.349488
2024-11-10 18:00:00,14.255321
2024-11-10 18:01:00,14.244696
2024-11-10 18:02:00,14.214335
2024-11-10 18:03:00,14.205628
2024-11-10 18:04:00,14.194757
2024-11-10 18:05:00,14.179572
2024-11-10 18:06:00,14.173065
2024-11-10 18:07:00,14.164416
2024-11-10 18:08:00,14.170935
2024-11-10 18:09:00,14.166632
2024-11-10 18:10:00,14.175316
2024-11-10 18:11:00,14.186164
2024-11-10 18:12:00,14.197019
2024-11-10 18:13:00,14.210039
2024-11-10 18:14:00,14.212219
2024-11-10 18:15:00,14.18883
2024-11-10 18:16:00,14.206171
2024-11-10 18:17:00,14.214263
2024-11-10 18:18:00,14.2143135
2024-11-10 18:19:00,14.211892
2024-11-10 18:20:00,14.199662
2024-11-10 18:21:00,14.186601
2024-11-10 18:22:00,14.196468
2024-11-10 18:23:00,14.186625
2024-11-10 18:24:00,14.177971
2024-11-10 18:25:00,14.180149
2024-11-10 18:26:00,14.180153
2024-11-10 18:27:00,14.169309
2024-11-10 18:28:00,14.167108
2024-11-10 18:29:00,14.144425
2024-11-10 18:30:00,13.951382
2024-11-10 18:31:00,13.939595
2024-11-10 18:32:00,13.939631
2024-11-10 18:33:00,13.93569
2024-11-10 18:34:00,13.931818
2024-11-10 18:35:00,13.941354
2024-11-10 18:36:00,13.943138
2024-11-10 18:37:00,13.951442
2024-11-10 18:38:00,13.969885
2024-11-10 18:39:00,13.973366
2024-11-10 18:40:00,13.990928
2024-11-10 18:41:00,13.994704
2024-11-10 18:42:00,14.003723
2024-11-10 18:43:00,14.015406
2024-11-10 18:44:00,14.019681
2024-11-10 18:45:00,14.040147
2024-11-10 18:46:00,14.026045
2024-11-10 18:47:00,14.013952
2024-11-10 18:48:00,13.998789
2024-11-10 18:49:00,13.989261
2024-11-10 18:50:00,13.973859
2024-11-10 18:51:00,13.956896
2024-11-10 18:52:00,13.94931
